Mark,Name,Posttown,Last available year,Status,Legal form,Legal situation,Legal situation date,Date of incorporation,Date,Event,Turnover Last year th EUR Last avail. yr,P/L for the period aft. taxes th EUR Last avail. yr,P/L for the period aft. taxes th EUR Year - 1,P/L for the period aft. taxes th EUR Year - 2,P/L for the period aft. taxes th EUR Year - 3,P/L for the period aft. taxes th EUR Year - 5,P/L for the period aft. taxes th EUR Year - 4,Total assets th EUR Last avail. yr,Total assets th EUR Year - 1,Total assets th EUR Year - 2,Total assets th EUR Year - 3,Total assets th EUR Year - 5,Total assets th EUR Year - 4,Average number of employees Last avail. yr,Average number of employees Year - 1,Average number of employees Year - 2,Average number of employees Year - 3,Average number of employees Year - 5,Average number of employees Year - 4,Category of the company,Main activity
1173.0,BE-GE SEATING,TIENEN,2020.0,Inactive,public,Conclusion of liquidation,01/06/2021,22/07/1976,,,388.0,-106.0,40.0,45.0,24.0,31.0,52.0,474.0,573.0,663.0,601.0,578.0,702.0,1.0,1.0,2.0,3.0,4.0,3.0,Small,
1174.0,HAAGEN - DAZS BELGIUM,BRUXELLES,2019.0,Inactive,private,Conclusion of liquidation,27/04/2020,22/02/1991,,,388.0,22.0,27.0,13.0,98.0,-42.0,114.0,353.0,743.0,591.0,772.0,1083.0,909.0,4.0,17.0,27.0,26.0,23.0,24.0,Medium sized,
1175.0,COMPTOIR INDUSTRIEL DU CAOUTCHOUC,JUMET,2019.0,Inactive,private,Conclusion of bankruptcy,10/10/2022,24/09/1987,,,387.0,-72.0,-40.0,-10.0,-3.0,-12.0,-14.0,122.0,176.0,180.0,216.0,216.0,220.0,1.0,2.0,2.0,2.0,1.0,2.0,Small,
1176.0,ETABLISSEMENTS AD POLLET,BRUYELLE,2019.0,Inactive,public,Conclusion of liquidation,15/12/2020,30/06/1925,,,387.0,228.0,21.0,0.0,-1.0,-12.0,-12.0,580.0,339.0,315.0,315.0,348.0,347.0,3.0,3.0,3.0,2.0,2.0,2.0,Small,
1177.0,G. BUTERA,VERVIERS,2020.0,Provisional legal sit.,private,Bankruptcy,31/03/2022,04/10/2012,,,386.0,2.0,9.0,5.0,-14.0,19.0,-26.0,204.0,200.0,250.0,222.0,281.0,221.0,3.0,4.0,3.0,3.0,2.0,3.0,Small,
1178.0,PR ELECTRONICS,GENTBRUGGE,2022.0,Inactive,private,Conclusion of liquidation,30/09/2022,13/06/2014,,,386.0,6.0,4.0,4.0,4.0,1.0,2.0,138.0,129.0,119.0,114.0,156.0,192.0,,,,,1.0,,Small,
1179.0,LE MARINE,ALLEUR,2018.0,Provisional legal sit.,private,Bankruptcy,20/09/2021,19/06/2006,,,386.0,12.0,28.0,-6.0,-6.0,17.0,20.0,89.0,89.0,49.0,41.0,51.0,53.0,,2.0,3.0,2.0,1.0,,Small,
1180.0,NIEMI TRAVEL,ROCOURT,2020.0,Provisional legal sit.,private,Bankruptcy,13/09/2021,30/01/2012,,,384.0,-92.0,7.0,14.0,9.0,-8.0,-36.0,191.0,437.0,394.0,402.0,368.0,351.0,2.0,2.0,2.0,3.0,3.0,3.0,Small,
1181.0,BENONIT CONSTRUCT,FALISOLLE,2019.0,Inactive,private,Bankruptcy,20/05/2021,05/09/2012,,,384.0,-133.0,6.0,59.0,-52.0,29.0,24.0,383.0,418.0,345.0,291.0,239.0,246.0,,4.0,2.0,,,,Small,
1182.0,DECO-ENGINEERING,GENK,2020.0,Provisional legal sit.,public,Bankruptcy,15/02/2022,15/11/1988,11/05/2010,Company absorbing an(other) company/ies,384.0,-104.0,-67.0,-57.0,-8.0,-5.0,406.0,1180.0,1513.0,1656.0,928.0,471.0,977.0,2.0,2.0,2.0,2.0,1.0,2.0,Small,
1183.0,AUCHAN SUPPLIERS ADVANCED PLATFORM,MARQUAIN,2019.0,Inactive,public,Merger by absorption,01/05/2019,12/06/2012,,,382.0,32.0,-18.0,50.0,-8.0,-234.0,-147.0,1181.0,1219.0,1507.0,1370.0,1573.0,1412.0,,4.0,5.0,4.0,3.0,4.0,Small,
1184.0,ADEM JUNIOR,BRUXELLES,2018.0,Provisional legal sit.,private,Bankruptcy,11/01/2021,16/03/2016,,,379.0,-34.0,2.0,,,,,81.0,87.0,6.0,,,,,3.0,,,,,Small,
1185.0,ESPIT,SENEFFE,2020.0,Provisional legal sit.,private,Bankruptcy,16/05/2022,11/12/2012,,,378.0,-176.0,-354.0,-383.0,10.0,19.0,23.0,226.0,297.0,344.0,342.0,467.0,683.0,11.0,10.0,11.0,9.0,8.0,8.0,Small,
1186.0,MOTIMO,BRUXELLES,2018.0,Inactive,public,Merger by absorption,27/06/2019,13/11/1992,27/06/2019,Absorbed Company,376.0,219.0,313.0,54.0,,,,739.0,709.0,558.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,Small,
1187.0,ATELIER TILLIEUX D'USINAGE,VILLERS-LE-BOUILLET,2020.0,Provisional legal sit.,private,Bankruptcy,23/05/2022,13/01/1992,,,376.0,-212.0,-28.0,-67.0,-106.0,15.0,-8.0,280.0,553.0,863.0,606.0,925.0,785.0,11.0,11.0,11.0,10.0,10.0,9.0,Small,
1188.0,EPS TEAM GROUP,BRUXELLES,2019.0,Provisional legal sit.,private,Bankruptcy,21/03/2022,16/05/2013,,,375.0,-171.0,-368.0,350.0,-421.0,7.0,46.0,18.0,11.0,635.0,642.0,905.0,1235.0,,,,,1.0,,Small,
1189.0,"MAISON DE L'AMERIQUE LATINE, SERVICE EUROPEEN DES",BRUXELLES,2020.0,Provisional legal sit.,nonprofit,Bankruptcy,21/12/2021,04/12/1976,,,375.0,-73.0,2.0,1.0,0.0,-14.0,4.0,156.0,165.0,190.0,188.0,136.0,151.0,12.0,14.0,10.0,9.0,7.0,8.0,Small,
1190.0,HENRI IER,BRUXELLES,2018.0,Inactive,public,Conclusion of bankruptcy,28/06/2022,01/01/1994,,,374.0,14.0,16.0,5.0,-33.0,29.0,-7.0,27.0,35.0,100.0,76.0,99.0,126.0,,,7.0,7.0,6.0,7.0,Small,
1191.0,AU PETIT COQUIN,BRUXELLES,2020.0,Inactive,public,Conclusion of liquidation,28/06/2021,21/12/1984,,,373.0,-32.0,7.0,10.0,-5.0,-1.0,-3.0,171.0,213.0,214.0,211.0,225.0,213.0,1.0,1.0,1.0,1.0,1.0,1.0,Small,
1192.0,NOFAL,BRUXELLES,2019.0,Provisional legal sit.,private,Bankruptcy,20/09/2022,12/06/2003,,,372.0,4.0,80.0,-9.0,-17.0,11.0,-58.0,103.0,71.0,83.0,75.0,64.0,69.0,,,,1.0,,1.0,Small,
1193.0,EXPERTEAM,MECHELEN,2020.0,Inactive,public,Conclusion of liquidation,30/12/2021,18/09/1985,,,371.0,-306.0,279.0,126.0,230.0,377.0,277.0,1531.0,2034.0,1669.0,1624.0,1154.0,1363.0,3.0,7.0,9.0,13.0,27.0,20.0,Small,
1194.0,MERREM & LA PORTE COLLIGNON,CARGOVIL,2019.0,Inactive,public,Merger by absorption,16/12/2019,24/11/1966,16/12/2019,Absorbed Company,368.0,-181.0,-19.0,84.0,55.0,-3.0,-92.0,337.0,660.0,822.0,958.0,547.0,401.0,2.0,2.0,2.0,3.0,2.0,3.0,Small,
1195.0,ISOFREEZE MANGUETTE,ESTAIMBOURG,2018.0,Inactive,private,Conclusion of liquidation,24/12/2019,15/03/2000,,,368.0,87.0,39.0,9.0,0.0,4.0,20.0,477.0,345.0,307.0,311.0,246.0,311.0,3.0,3.0,4.0,4.0,5.0,5.0,Small,
1196.0,ASSOS2,BRUXELLES,2020.0,Provisional legal sit.,private,Bankruptcy,29/11/2021,28/11/2017,,,367.0,-47.0,-38.0,-130.0,,,,269.0,280.0,240.0,,,,6.0,9.0,12.0,,,,Small,
1197.0,EUROTOP IMPORT-EXPORT,ANTWERPEN,2019.0,Provisional legal sit.,private,Bankruptcy,22/07/2021,21/09/2012,,,365.0,60.0,25.0,18.0,1.0,32.0,4.0,180.0,120.0,215.0,197.0,133.0,162.0,,,1.0,1.0,1.0,1.0,Small,
1198.0,"WILMUS MARC, NOTAIRE",BRUXELLES,2020.0,Inactive,private,Conclusion of liquidation,08/01/2021,18/04/2002,,,365.0,1290.0,368.0,336.0,282.0,256.0,340.0,1386.0,6382.0,8099.0,5797.0,5907.0,4840.0,2.0,12.0,12.0,11.0,10.0,11.0,Small,
1199.0,H.V.W.,SENEFFE,2020.0,Provisional legal sit.,private,Bankruptcy,02/05/2022,17/02/2009,,,363.0,-14.0,-43.0,-25.0,-68.0,18.0,11.0,69.0,62.0,83.0,119.0,99.0,131.0,10.0,11.0,11.0,9.0,9.0,10.0,Small,
1200.0,VDOM,GEMBLOUX,2019.0,Inactive,private,Conclusion of liquidation,16/12/2021,21/09/2010,,,361.0,-12.0,-13.0,0.0,0.0,-2.0,-1.0,83.0,184.0,141.0,142.0,146.0,143.0,8.0,,,,,,Small,
1201.0,B.A.CONSTRUCT,BRUXELLES,2019.0,Provisional legal sit.,private,Bankruptcy,21/12/2021,15/01/2016,,,359.0,-14.0,11.0,8.0,-1.0,,,252.0,164.0,74.0,16.0,,,1.0,1.0,,,,,Small,
1202.0,MAGESCO GROUP,BRUXELLES,2019.0,Inactive,private,Conclusion of bankruptcy,16/02/2021,22/12/2006,,,359.0,-230.0,-47.0,1.0,-14.0,-6.0,-14.0,84.0,97.0,102.0,83.0,108.0,96.0,,4.0,1.0,,,,Small,
1203.0,COLFRIDIS INVEST,WILLEBROEK,2018.0,Inactive,public,Merger by absorption,29/07/2019,21/03/2007,29/07/2019,Absorbed Company,359.0,4.0,2.0,-6793.0,-8.0,-3.0,9.0,5277.0,6273.0,12678.0,15769.0,15711.0,15736.0,,,14.0,18.0,13.0,15.0,Medium sized,services
1204.0,UNDERGROUND SOLUTIONS,OLEN,2021.0,Inactive,public,Conclusion of liquidation,05/10/2022,22/04/2010,,,357.0,103.0,-52.0,2.0,-8.0,-254.0,4.0,287.0,214.0,270.0,305.0,998.0,570.0,3.0,3.0,3.0,3.0,5.0,3.0,Small,
1205.0,VELTION,SINT-DENIJS-WESTREM,2020.0,Inactive,private,Merger by absorption,24/11/2020,27/10/2010,24/11/2020,Absorbed Company,357.0,-128.0,1.0,54.0,11.0,36.0,7.0,44.0,259.0,289.0,237.0,227.0,195.0,4.0,5.0,4.0,4.0,2.0,3.0,Small,
1206.0,PLANORGA BELUX,BRUXELLES,2019.0,Provisional legal sit.,private,Bankruptcy,04/10/2021,22/02/1990,,,356.0,-23.0,-3.0,-6.0,-23.0,-93.0,-33.0,55.0,94.0,87.0,159.0,156.0,179.0,1.0,1.0,,1.0,1.0,1.0,Small,
1207.0,LEVON,HARELBEKE,2019.0,Inactive,private,Merger by absorption,03/12/2020,12/08/2010,03/12/2020,Absorbed Company,356.0,225.0,203.0,163.0,173.0,254.0,314.0,2555.0,2641.0,2758.0,2628.0,2716.0,2720.0,1.0,1.0,1.0,1.0,,,Medium sized,
1208.0,RENOVA BEL,BRUXELLES,2018.0,Inactive,private,Judicial winding up,01/10/2021,18/01/2012,,,355.0,87.0,4.0,3.0,8.0,16.0,6.0,152.0,54.0,79.0,87.0,89.0,94.0,1.0,2.0,,,,,Small,
1209.0,FCTA,COUILLET,2020.0,Provisional legal sit.,private,Bankruptcy,14/02/2022,10/03/2016,,,355.0,-124.0,8.0,26.0,30.0,,-41.0,82.0,131.0,61.0,44.0,,9.0,3.0,3.0,3.0,1.0,,1.0,Small,
1210.0,SUN TRIPS,HARELBEKE,2020.0,Inactive,private,Conclusion of liquidation,25/04/2022,22/10/1986,,,355.0,-40.0,1.0,3.0,8.0,8.0,-18.0,203.0,286.0,276.0,292.0,228.0,255.0,,1.0,1.0,1.0,2.0,2.0,Small,
1211.0,SYLHET,BRUXELLES,2019.0,Inactive,private,Conclusion of bankruptcy,09/11/2021,25/08/2011,,,354.0,-81.0,3.0,-25.0,2.0,5.0,3.0,16.0,65.0,74.0,26.0,19.0,18.0,1.0,,,,0.0,,Small,
1212.0,HAIRLINEA,DEURNE,2021.0,Provisional legal sit.,private,Bankruptcy,30/06/2022,11/04/1990,,,354.0,-14.0,-32.0,1.0,-94.0,-77.0,-106.0,61.0,123.0,180.0,204.0,194.0,224.0,11.0,12.0,12.0,15.0,19.0,16.0,Small,
1213.0,INTERBAD,SINT-KRUIS,2018.0,Inactive,nonprofit,Conclusion of liquidation,12/11/2019,18/01/1968,20/05/2019,Contribution of universality,353.0,,0.0,-48.0,0.0,,0.0,2225.0,2261.0,2305.0,1989.0,2123.0,2030.0,11.0,10.0,11.0,10.0,11.0,10.0,Medium sized,
1214.0,VREYSEN DOUANE - EXPEDITEUR,MEER,2018.0,Provisional legal sit.,private,Bankruptcy,08/10/2019,08/07/1992,,,352.0,220.0,14.0,-429.0,2.0,1.0,8.0,896.0,1441.0,1382.0,1430.0,1131.0,1316.0,3.0,5.0,5.0,5.0,7.0,6.0,Small,
1215.0,ADEGO,HAM-SUR-HEURE-NALINNES,2018.0,Inactive,private,Conclusion of bankruptcy,21/02/2022,12/09/2005,,,352.0,76.0,38.0,38.0,33.0,34.0,36.0,309.0,229.0,200.0,170.0,77.0,120.0,,4.0,4.0,2.0,,1.0,Small,
1216.0,LIGHTING SYSTEMS BUSINESS,BRUXELLES,2020.0,Inactive,public,Merger by absorption,30/06/2021,16/02/1990,30/06/2021,Absorbed Company,349.0,-110.0,1432.0,9.0,0.0,80.0,27.0,5837.0,5991.0,3917.0,3943.0,3982.0,3953.0,9.0,14.0,14.0,21.0,27.0,24.0,Medium sized,
1217.0,MAIA GROUP TECHNOLOGY,BAILLONVILLE,2019.0,Inactive,private,Conclusion of liquidation,17/11/2022,12/03/2018,,,348.0,8.0,36.0,,,,,122.0,102.0,,,,,2.0,,,,,,Small,
1218.0,SAFAFOOD,BRESSOUX,2018.0,Inactive,private,Conclusion of bankruptcy,27/10/2020,02/12/2008,,,347.0,-84.0,-1.0,7.0,-3.0,8.0,-14.0,27.0,84.0,85.0,82.0,99.0,82.0,3.0,3.0,3.0,3.0,3.0,3.0,Small,
1219.0,DIRECT ENERGIE SERVICES,BRUXELLES,2020.0,Inactive,public,Merger by absorption,27/08/2021,27/02/2015,27/08/2021,Absorbed Company,346.0,-41.0,-1.0,16.0,17.0,2.0,10.0,232.0,330.0,276.0,523.0,138.0,137.0,1.0,1.0,3.0,3.0,2.0,2.0,Small,
1220.0,OVRAZ,DOTTIGNIES,2018.0,Provisional legal sit.,private,Bankruptcy,17/05/2022,24/06/2009,,,346.0,2.0,0.0,2.0,-5.0,-9.0,7.0,167.0,116.0,103.0,149.0,164.0,153.0,1.0,,,,1.0,,Small,
1221.0,DUPONT DECOR,JEMEPPE-SUR-MEUSE,2019.0,Inactive,private,Conclusion of bankruptcy,30/11/2021,01/07/1998,,,345.0,-88.0,7.0,9.0,6.0,6.0,6.0,71.0,127.0,89.0,46.0,21.0,29.0,,1.0,,,,1.0,Small,
1222.0,SOCIETE ANONYME DES FONDERIES GIRBOUX FRERES,LOUPOIGNE,2021.0,Provisional legal sit.,private,Liquidation,06/01/2022,22/01/1931,,,345.0,-157.0,-137.0,-59.0,21.0,4.0,43.0,54.0,138.0,247.0,347.0,302.0,349.0,9.0,7.0,9.0,9.0,9.0,9.0,Small,
1223.0,KOCA VOLWASSENENZORG,BOOM,2021.0,Provisional legal sit.,nonprofit,Liquidation,23/06/2022,20/09/2005,21/12/2021,Contribution of universality,343.0,75.0,74.0,155.0,262.0,74.0,205.0,4119.0,4319.0,4300.0,4345.0,4348.0,4334.0,25.0,25.0,25.0,26.0,26.0,27.0,Medium sized,
1224.0,ADUPLOM CONTROLS & SERVICES,BRUXELLES,2018.0,Inactive,private,Conclusion of liquidation,19/12/2019,15/07/2010,,,343.0,126.0,113.0,45.0,4.0,58.0,37.0,425.0,332.0,431.0,333.0,329.0,386.0,,1.0,1.0,,1.0,,Small,
1225.0,ASCOMEX,LILLOIS-WITTERZEE,2019.0,Inactive,public,Conclusion of liquidation,12/08/2020,21/04/1994,,,342.0,75.0,103.0,79.0,43.0,-1.0,26.0,489.0,465.0,352.0,255.0,158.0,204.0,2.0,2.0,2.0,2.0,2.0,2.0,Small,
1226.0,BOULANGERIE L'EUROPEENNE,MONCEAU-SUR-SAMBRE,2018.0,Provisional legal sit.,private,Bankruptcy,22/11/2021,01/06/2007,,,341.0,24.0,-18.0,-1.0,1.0,-5.0,-1.0,70.0,52.0,42.0,37.0,105.0,35.0,3.0,3.0,3.0,5.0,5.0,4.0,Small,
1227.0,BOER VAN TIENEN,ANTWERPEN,2018.0,Inactive,private,Conclusion of bankruptcy,09/03/2021,16/06/1983,,,337.0,-3.0,19.0,-5.0,-30.0,-3.0,-38.0,58.0,12.0,9.0,9.0,7.0,9.0,4.0,3.0,,,1.0,4.0,Small,
1228.0,INTER SERVICE ENTREPRISE,SOUGNE-REMOUCHAMPS,2018.0,Inactive,cooperative,Conclusion of bankruptcy,14/06/2022,09/12/1987,23/12/2019,Merger project,335.0,-38.0,11.0,5.0,2.0,-2.0,1.0,158.0,212.0,187.0,204.0,273.0,228.0,2.0,2.0,1.0,2.0,2.0,,Small,
1229.0,KEEEPER,FLEURUS,2019.0,Inactive,public,Conclusion of liquidation,17/12/2020,06/04/1948,,,334.0,-149.0,72.0,51.0,-276.0,26.0,-123.0,336.0,462.0,688.0,1312.0,2291.0,2217.0,2.0,3.0,6.0,10.0,15.0,13.0,Small,manufacturing
1230.0,BETTE OLIVIER,CHIEVRES,2018.0,Inactive,private,Merger by absorption,21/06/2019,31/01/2007,21/06/2019,Absorbed Company,333.0,48.0,45.0,41.0,44.0,43.0,51.0,300.0,319.0,330.0,335.0,357.0,374.0,1.0,1.0,7.0,1.0,1.0,1.0,Small,
1231.0,MARLI CONSTRUCTION,BOIS-DE-VILLERS,2018.0,Provisional legal sit.,private,Bankruptcy,06/02/2020,29/01/2014,,,331.0,-40.0,-72.0,42.0,28.0,,27.0,74.0,46.0,167.0,119.0,,141.0,,3.0,,,,,Small,
1232.0,RS COMPANY,HEUSDEN (LIMB.),2020.0,Inactive,private,Conclusion of liquidation,07/04/2020,07/06/2019,,,331.0,-8.0,,,,,,4.0,,,,,,1.0,,,,,,Small,
1233.0,DECORUL,SCHOTEN,2019.0,Inactive,public,Merger by absorption,27/03/2020,22/02/1990,27/03/2020,Absorbed Company,330.0,74.0,147.0,15.0,15.0,22.0,4.0,2345.0,1792.0,2469.0,2590.0,2982.0,2828.0,,,44.0,39.0,41.0,41.0,Medium sized,
1234.0,KARHUSAL,BRUXELLES,2020.0,Provisional legal sit.,private,Judicial winding up,06/10/2022,02/03/2009,,,330.0,10.0,-20.0,11.0,-9.0,4.0,9.0,205.0,213.0,85.0,131.0,124.0,114.0,,,,,2.0,1.0,Small,
1235.0,POINT URBAIN,ANTWERPEN,2019.0,Provisional legal sit.,private,Bankruptcy,11/03/2021,20/10/2016,05/06/2019,Company absorbing an(other) company/ies,330.0,-182.0,-179.0,-30.0,,,,876.0,1014.0,483.0,,,,2.0,2.0,,,,,Small,
1236.0,EUROS G3 SERVICES,BRUXELLES,2020.0,Provisional legal sit.,private,Bankruptcy,15/11/2021,08/03/2004,,,330.0,42.0,24.0,0.0,7.0,30.0,29.0,883.0,787.0,344.0,372.0,422.0,421.0,4.0,5.0,6.0,6.0,6.0,6.0,Small,
1237.0,FUNTASTIC ANTES,EREMBODEGEM,2019.0,Inactive,public,Merger by absorption,27/09/2019,12/10/1989,27/09/2019,Absorbed Company,328.0,125.0,310.0,1212.0,1523.0,847.0,1246.0,1088.0,5707.0,7768.0,6275.0,7917.0,5593.0,2.0,3.0,3.0,3.0,5.0,5.0,Small,services
1238.0,FLORILEGE,LIEGE,2018.0,Inactive,private,Conclusion of bankruptcy,14/07/2021,13/02/2006,,,327.0,-24.0,43.0,-6.0,-19.0,-17.0,-87.0,51.0,58.0,54.0,94.0,116.0,103.0,3.0,4.0,4.0,3.0,4.0,3.0,Small,
1239.0,WITDOECKT,OOSTENDE,2019.0,Inactive,public,Conclusion of liquidation,30/06/2020,31/12/1970,,,326.0,24.0,-127.0,-95.0,-111.0,6.0,-20.0,184.0,274.0,301.0,299.0,395.0,299.0,1.0,3.0,3.0,3.0,3.0,3.0,Small,
1240.0,EKOCONSULT,JUMET,2018.0,Provisional legal sit.,private,Bankruptcy,07/10/2019,12/04/2012,,,325.0,-124.0,-50.0,-102.0,1.0,-34.0,39.0,397.0,415.0,437.0,438.0,139.0,323.0,2.0,5.0,4.0,1.0,,,Small,
1241.0,EDILI CONSTRUCTION,BRUXELLES,2019.0,Provisional legal sit.,private,Bankruptcy,19/04/2021,16/04/2018,,,323.0,24.0,,,,,,49.0,,,,,,1.0,,,,,,Small,
1242.0,BARKAT,GENT,2018.0,Inactive,private,Merger by absorption,12/06/2019,25/11/1994,12/06/2019,Absorbed Company,323.0,37.0,0.0,-33.0,-35.0,4.0,-16.0,132.0,168.0,182.0,100.0,119.0,140.0,2.0,1.0,1.0,2.0,2.0,2.0,Small,
1243.0,START TO SERVICE,ANTWERPEN,2020.0,Provisional legal sit.,private,Bankruptcy,06/10/2022,24/01/2011,,,322.0,3.0,9.0,3.0,13.0,11.0,24.0,339.0,560.0,232.0,84.0,109.0,298.0,4.0,7.0,,1.0,3.0,3.0,Small,
1244.0,DEHALO,NAMUR,2018.0,Provisional legal sit.,private,Bankruptcy,05/12/2019,29/04/2014,,,321.0,-13.0,29.0,4.0,-4.0,,,138.0,134.0,94.0,95.0,,,2.0,2.0,6.0,5.0,,,Small,
1245.0,BRIDTSTONE,HAMME (VL.),2021.0,Inactive,private,Merger by absorption,30/09/2022,21/09/2011,30/09/2022,Absorbed Company,321.0,172.0,17.0,637.0,-33.0,30.0,27.0,3824.0,4159.0,4250.0,5497.0,2411.0,2409.0,,3.0,3.0,3.0,2.0,2.0,Medium sized,
1246.0,LAMANA,BRUXELLES,2020.0,Provisional legal sit.,private,Bankruptcy,20/12/2021,20/10/2005,,,321.0,-30.0,0.0,3.0,0.0,3.0,6.0,121.0,184.0,217.0,143.0,166.0,165.0,,,1.0,1.0,1.0,1.0,Small,
1247.0,WOOD WORKING,FLEURUS,2018.0,Provisional legal sit.,private,Bankruptcy,10/02/2020,02/06/2017,,,315.0,0.0,,,,,,56.0,,,,,,2.0,,,,,,Small,
1248.0,IKELA,ANTWERPEN,2018.0,Provisional legal sit.,private,Bankruptcy,27/02/2020,25/03/2005,,,312.0,-6.0,34.0,-4.0,1.0,1.0,-16.0,87.0,94.0,20.0,54.0,22.0,6.0,2.0,2.0,,,,,Small,
1249.0,PRO GOMME FRANCORCHAMPS,CHARLEROI,2021.0,Provisional legal sit.,private,Bankruptcy,14/03/2022,24/02/2016,,,312.0,-43.0,-39.0,-6.0,-12.0,,3.0,42.0,74.0,88.0,64.0,,58.0,1.0,1.0,1.0,2.0,,1.0,Small,
1250.0,COMPUTERS DENOLF,TORHOUT,2018.0,Inactive,private,Conclusion of bankruptcy,12/04/2021,04/07/2011,,,311.0,-38.0,-16.0,7.0,-49.0,-8.0,4.0,39.0,240.0,147.0,111.0,66.0,85.0,2.0,2.0,1.0,1.0,1.0,1.0,Small,
1251.0,EUROTRIX,LIEGE,2019.0,Provisional legal sit.,private,Bankruptcy,01/04/2022,18/09/2009,,,311.0,-9.0,11.0,5.0,5.0,-16.0,25.0,78.0,37.0,33.0,15.0,12.0,23.0,3.0,1.0,1.0,,1.0,,Small,
1252.0,TRANS HEITE,IEPER,2021.0,Inactive,private,Merger by absorption,30/06/2022,30/12/1985,30/06/2022,Absorbed Company,310.0,-40.0,-16.0,5.0,-24.0,-29.0,3.0,240.0,347.0,393.0,303.0,493.0,309.0,1.0,1.0,1.0,1.0,2.0,1.0,Small,
1253.0,AYGUZER BUSINESS,BERCHEM-ANTWERPEN,2020.0,Provisional legal sit.,private,Bankruptcy,12/05/2022,10/04/2017,,,309.0,20.0,,,,,,208.0,6.0,,,,,8.0,,,,,,Small,
1254.0,MODERN HOME,EKE,2020.0,Inactive,public,Merger by absorption,03/11/2021,17/03/1972,03/11/2021,Absorbed Company,309.0,46.0,91.0,92.0,98.0,136.0,137.0,193.0,292.0,311.0,354.0,489.0,473.0,4.0,5.0,6.0,6.0,5.0,5.0,Small,
1255.0,MANDEP,HAM-SUR-HEURE,2018.0,Provisional legal sit.,private,Bankruptcy,25/11/2019,08/06/2012,,,307.0,14.0,8.0,-16.0,-10.0,3.0,11.0,160.0,51.0,44.0,42.0,55.0,73.0,,3.0,2.0,2.0,2.0,2.0,Small,
1256.0,ARCH TIMBER PROTECTION,BRUSSEL,2018.0,Inactive,public,Conclusion of liquidation,28/03/2019,03/01/1974,,,306.0,48.0,35.0,54.0,69.0,84.0,74.0,665.0,603.0,572.0,553.0,1332.0,1392.0,1.0,1.0,1.0,1.0,1.0,1.0,Small,
1257.0,BITLER,SINT-NIKLAAS,2020.0,Inactive,cooperative,Merger by absorption,18/11/2020,15/09/1924,18/11/2020,Absorbed Company,305.0,76.0,165.0,163.0,146.0,-78.0,123.0,1113.0,930.0,819.0,638.0,253.0,403.0,1.0,1.0,1.0,1.0,1.0,1.0,Small,wholesale
1258.0,FIKANEL,BRUXELLES,2018.0,Inactive,private,Conclusion of bankruptcy,01/02/2022,11/01/1996,,,304.0,-11.0,-19.0,-36.0,-3.0,-13.0,-4.0,144.0,177.0,50.0,53.0,28.0,41.0,3.0,4.0,4.0,4.0,4.0,4.0,Small,
1259.0,G2,ANTWERPEN,2021.0,Inactive,private,Merger by absorption,30/03/2022,10/12/2008,30/03/2022,Absorbed Company,304.0,16.0,5747.0,87.0,29.0,401.0,138.0,13363.0,9940.0,8015.0,7941.0,3136.0,7864.0,7.0,6.0,4.0,3.0,5.0,3.0,Medium sized,
1260.0,LEDERWAREN BRU,SCHOTEN,2020.0,Inactive,private,Conclusion of liquidation,18/12/2020,13/12/1978,,,303.0,-79.0,-12.0,-27.0,-9.0,15.0,-32.0,,352.0,366.0,388.0,403.0,399.0,1.0,2.0,3.0,3.0,3.0,3.0,Small,
1261.0,SWAENEHOF,NIEUWPOORT,2020.0,Inactive,public,Merger by absorption,11/02/2021,10/05/1969,11/02/2021,Absorbed Company,299.0,59.0,155.0,189.0,83.0,136.0,92.0,3618.0,3574.0,3610.0,3607.0,3774.0,3690.0,,,,,1.0,9.0,Medium sized,
1262.0,ABZET,JEMEPPE-SUR-MEUSE,2018.0,Provisional legal sit.,private,Bankruptcy,22/03/2021,30/04/2012,,,299.0,2.0,9.0,6.0,16.0,,15.0,87.0,57.0,84.0,70.0,,80.0,,,2.0,3.0,,4.0,Small,
1263.0,BESCHUT WONEN - OOSTKUST,HEIST-AAN-ZEE,2020.0,Inactive,nonprofit,Conclusion of liquidation,17/12/2021,04/07/1991,,,298.0,4.0,45.0,,1.0,-4.0,6.0,1293.0,1445.0,1465.0,1375.0,1109.0,1358.0,4.0,4.0,5.0,5.0,4.0,5.0,Small,
1264.0,VINCI AIRPORTS INTERNATIONAL,BRUXELLES,2018.0,Inactive,public,Merger by absorption,30/11/2018,24/05/2013,,,298.0,412285.0,10628.0,203839.0,9850.0,-20166.0,8959.0,2846382.0,2548962.0,2634553.0,2610030.0,2533329.0,2591187.0,3.0,2.0,2.0,1.0,,,Very large,services
1265.0,WILCO,NAZARETH,2018.0,Inactive,public,Merger by absorption,29/07/2019,19/07/1991,29/07/2019,Absorbed Company,298.0,1296.0,1993.0,6611.0,1842.0,1718.0,1751.0,56848.0,55346.0,53281.0,46264.0,42865.0,44676.0,8.0,6.0,5.0,5.0,4.0,5.0,Large,services
